==========================================================================================
PRICE JUMP PAIR ANALYSIS - ATR + CUSUM + MOMENTUM STRATEGY
==========================================================================================

Configuration:
  Data Directory: /data/quant14/EBY
  Number of Days Processed: 279
  Price Column: Price
  Volatility Feature: PB9_T1
  Price Jump Threshold (Main): ±0.2
  Price Jump Threshold (Addl): ±0.25, ±0.30

Strategy Parameters:
  ATR Window: 20 bars
  ATR Stagnant Threshold: 0.01
  CUSUM Drift: 0.005
  CUSUM Decay: 0.7
  CUSUM EWM Span: 180
  Momentum Window: 10
  Momentum Avg Window: 50
  Momentum Threshold: 0.0

Trading Rules:
  Start Delay: 600.0s (10 min)
  Min Hold: 15.0s
  Min Cooldown: 15.0s
  EOD Square-off: Enabled
==========================================================================================

CATEGORY A: ATR < 0.01 (Always Stagnant)
==========================================================================================
Number of days: 103

Day | P(0.20) | P(0.25) | P(0.30) | T(0.20) | T(0.25) | T(0.30) | Trades | ATR Max  | Price Min | Price Max
160 |       9 |       5 |       5 | 2225.7 | 4132.0 | 4476.2 |      5 | 0.014983 |     99.64 |    100.23
161 |       5 |       2 |       2 | 4079.0 | 2133.5 | 2054.0 |      1 | 0.012074 |     99.81 |    100.31
162 |      25 |      18 |      15 |  888.7 | 1216.4 | 1482.3 |     22 | 0.016242 |     97.98 |    100.10
165 |      71 |      49 |      34 |  310.5 |  449.6 |  648.7 |    144 | 0.349745 |     96.29 |    100.77
167 |      17 |      10 |       7 | 1201.5 | 2032.5 | 2734.7 |      9 | 0.031142 |     99.52 |    100.63
168 |      14 |       6 |       6 | 1535.4 | 3462.8 | 3562.0 |      3 | 0.013591 |     98.75 |    100.50
169 |      13 |       7 |       6 | 1653.4 | 3092.0 | 3617.8 |      2 | 0.014359 |     99.99 |    101.88
172 |       6 |       5 |       1 | 2422.8 | 1714.8 | 8578.0 |      2 | 0.013541 |     99.69 |    100.27
173 |      22 |      15 |       8 |  949.8 | 1413.4 | 2730.1 |      6 | 0.011977 |     98.55 |    100.04
174 |      53 |      35 |      19 |  419.3 |  615.9 | 1130.6 |    107 | 0.020225 |     98.76 |    100.63
177 |      16 |      11 |       9 | 1343.8 | 1881.6 | 2489.9 |     17 | 0.013955 |     99.95 |    100.94
179 |       8 |       7 |       6 | 1086.5 | 1699.9 | 1446.3 |     13 | 0.018432 |     99.74 |    100.23
182 |      25 |      20 |      14 |  880.0 | 1054.5 | 1599.9 |     31 | 0.016263 |     98.61 |    101.17
185 |      30 |      25 |      16 |  718.0 |  852.2 | 1347.2 |     66 | 0.022297 |     98.43 |    100.12
186 |       3 |       3 |       3 | 6797.0 | 6958.0 | 6990.7 |      1 | 0.010683 |     99.63 |    100.10
187 |      10 |       6 |       5 | 2186.6 | 3556.3 | 4276.0 |      1 | 0.014201 |     98.57 |    100.13
188 |       5 |       4 |       2 | 3317.0 | 4037.5 | 8076.0 |      1 | 0.010890 |     99.81 |    100.51
189 |       8 |       4 |       4 | 1078.6 | 1912.5 | 1153.0 |      2 | 0.011337 |     98.98 |    100.09
190 |       5 |       4 |       3 | 3807.4 | 4923.2 | 4206.7 |      1 | 0.010362 |     98.99 |    100.00
192 |      14 |       9 |       8 | 1502.9 | 2207.0 | 2498.8 |      6 | 0.015829 |     99.34 |    100.29
194 |      16 |      12 |      11 | 1348.5 | 1859.8 | 1880.9 |      5 | 0.017708 |     99.10 |    100.60
195 |      14 |       6 |       5 | 1427.4 | 3238.3 | 3779.4 |      1 | 0.010244 |     99.60 |    100.49
196 |       6 |       6 |       5 | 3376.8 | 3544.7 | 4006.6 |      1 | 0.012162 |     99.86 |    100.58
201 |       9 |       5 |       3 | 2247.4 | 3577.0 | 6563.7 |      1 | 0.010143 |     99.34 |    100.12
202 |      17 |      12 |       7 | 1283.7 | 1821.8 | 3171.4 |      4 | 0.011853 |     98.62 |    100.15
203 |       5 |       3 |       3 | 4182.4 | 7335.3 | 7325.0 |      1 | 0.013925 |     99.76 |    100.44
205 |      11 |       8 |       4 | 1914.6 | 2569.8 | 4974.2 |      1 | 0.010638 |     98.83 |    100.03
207 |      18 |      11 |      10 | 1189.8 | 1952.7 | 2042.3 |     26 | 0.045700 |     99.82 |    100.75
208 |       6 |       6 |       5 | 3464.7 | 3463.0 | 4018.4 |      3 | 0.014949 |     99.86 |    100.50
209 |      44 |      36 |      24 |  479.9 |  586.8 |  885.2 |     97 | 0.079472 |     99.14 |    101.58
210 |       9 |       8 |       6 | 2397.2 | 2679.9 | 3596.3 |      2 | 0.011696 |     99.20 |    100.10
212 |      10 |       7 |       5 | 2112.0 | 3060.6 | 4223.6 |      2 | 0.017643 |     99.03 |    100.00
215 |       4 |       3 |       2 | 3966.2 | 5689.7 | 5536.0 |      1 | 0.014164 |     99.86 |    100.78
218 |      15 |       8 |       8 | 1411.0 | 2597.2 | 2564.8 |      2 | 0.013453 |     98.73 |    100.19
219 |       3 |       2 |       1 | 5920.7 | 7011.0 | 1864.0 |      2 | 0.015061 |     99.66 |    100.06
220 |       7 |       7 |       7 | 2943.4 | 2952.1 | 2873.1 |      3 | 0.011241 |     99.65 |    100.39
222 |      13 |      10 |       5 | 1589.8 | 2010.3 | 3432.2 |      6 | 0.022363 |     99.76 |    101.16
225 |       6 |       5 |       3 | 3435.7 | 3323.0 | 5488.3 |      7 | 0.024362 |     99.22 |    100.02
226 |      18 |       9 |       7 | 1145.3 | 2147.1 | 2758.9 |      6 | 0.013022 |     99.75 |    100.67
228 |      22 |      10 |      11 |  917.7 | 1947.4 | 1769.1 |     13 | 0.012619 |     99.60 |    101.04
230 |      13 |       5 |       4 | 1615.2 | 4163.8 | 5252.0 |      2 | 0.015216 |     98.97 |    100.22
234 |      11 |      10 |       9 | 1951.6 | 2142.9 | 2351.3 |     18 | 0.017455 |     99.66 |    100.90
235 |      13 |       7 |       7 | 1657.9 | 3057.4 | 3057.6 |      5 | 0.021403 |     99.22 |    100.40
237 |      14 |      11 |       9 | 1577.1 | 1777.2 | 2474.1 |      4 | 0.018440 |     99.66 |    100.68
239 |      11 |       7 |       5 | 1850.4 | 2750.9 | 4114.6 |     10 | 0.015265 |     99.76 |    100.93
240 |      12 |      10 |       4 | 1825.9 | 2191.3 | 5473.2 |      4 | 0.012874 |     99.43 |    100.29
242 |      12 |       7 |       5 | 1774.5 | 2965.7 | 4203.6 |      2 | 0.010834 |     99.83 |    100.64
244 |      12 |      10 |       5 | 1769.2 | 2069.6 | 4246.8 |      7 | 0.016026 |     99.92 |    101.62
246 |       5 |       3 |       3 | 3980.8 | 5643.3 | 5654.3 |     11 | 0.013917 |     99.57 |    100.19
251 |      19 |      10 |       8 | 1052.4 | 2069.6 | 2577.4 |      4 | 0.017148 |     99.84 |    100.85
252 |       9 |       6 |       5 | 2277.3 | 3324.8 | 3633.0 |      7 | 0.017929 |     99.82 |    101.81
253 |       8 |       3 |       4 | 2641.1 | 5004.7 | 2800.5 |      6 | 0.012916 |     99.46 |    100.14
256 |      11 |       9 |       6 | 2022.3 | 2305.9 | 3572.8 |     15 | 0.020831 |     99.74 |    100.68
259 |       4 |       3 |       2 | 5267.2 | 6740.3 | 10536.0 |      3 | 0.014649 |     99.50 |    100.20
260 |      11 |       8 |       6 | 1939.5 | 2611.6 | 3570.2 |     10 | 0.015987 |     99.94 |    100.95
261 |      18 |       9 |       7 | 1196.6 | 2314.8 | 2964.6 |      2 | 0.011443 |     99.60 |    100.96
262 |      15 |       9 |       7 | 1383.0 | 2280.4 | 2880.7 |      1 | 0.012958 |     98.44 |    100.02
263 |      18 |      14 |      11 | 1203.9 | 1418.4 | 1963.0 |     11 | 0.015496 |     99.01 |    100.10
264 |      16 |       7 |       6 | 1314.7 | 3081.7 | 3420.2 |      5 | 0.018047 |     99.99 |    100.72
265 |      20 |       6 |       4 |  993.4 | 3054.7 | 4750.0 |      7 | 0.014012 |     99.48 |    100.49
266 |       3 |       3 |       5 | 5800.3 | 6242.0 | 3099.6 |      1 | 0.010156 |     99.67 |    100.16
268 |       4 |       3 |       3 | 5003.5 | 6900.0 | 6916.0 |      3 | 0.013341 |     99.86 |    100.32
269 |       5 |       1 |       1 | 3281.4 | 16578.0 | 16243.0 |      2 | 0.014014 |     99.76 |    100.23
271 |       9 |       7 |       3 | 2371.3 | 3049.1 | 7132.7 |      1 | 0.010258 |     99.68 |    100.28
275 |      26 |      15 |      10 |  793.1 | 1351.8 | 1943.9 |     39 | 0.044756 |     98.06 |    100.18
276 |      14 |       7 |       5 | 1594.9 | 3022.4 | 4273.0 |     15 | 0.014838 |     99.21 |    100.22
277 |      24 |      18 |      13 |  896.5 | 1230.1 | 1580.5 |     17 | 0.012143 |     98.08 |    100.13

Total pairs (0.20): 2561 | Avg (per day): 15.81 | Avg Time (s): 1288.2
Total pairs (0.25): 1706 | Avg (per day): 10.53 | Avg Time (s): 1852.9
Total pairs (0.30): 1289 | Avg (per day): 7.96 | Avg Time (s): 2372.6
Total trades: 2371 | Avg: 14.64

==========================================================================================

OVERALL SUMMARY
==========================================================================================
Total valid days processed: 279
  Category A (ATR < 0.01): 103 days
  Category B (ATR > 0.01, no signals): 14 days
  Category C (ATR > 0.01, signals): 162 days
  Failed/Invalid days: 0 days

Total price jump pairs (0.20): 3229
Total price jump pairs (0.25): 2152
Total price jump pairs (0.30): 1616
Total strategy trades across all days: 2371

Average pairs per day (0.20): 11.57
Average pairs per day (0.25): 7.71
Average pairs per day (0.30): 5.79
Average trades per day (all days): 8.50

Overall avg pair time (0.20): 1707.9s
Overall avg pair time (0.25): 2405.1s
Overall avg pair time (0.30): 3020.5s

==========================================================================================
END OF REPORT
==========================================================================================
