====================================================================================================
PRICE FLUCTUATION (≥ 0.3) — TIME-FILTERED TRADES (≥ 15s duration + 15s cooldown)
REGIME: First KAMA SLOPE ABS >= THRESHOLD
====================================================================================================

KAMA Window: 30 | KAMA Slope Threshold: 0.0008
Min Trade Duration: 5s | Cooldown: 5s
Days Processed: 510 / 510

====================================================================================================
SECTION A — Days where KAMA Slope >= Threshold (Active Regime)
====================================================================================================
Day | KAMA @Index | KAMA_Slope | Considered | Missed | Total | Price Min | Price Max
329 |         N/A |   0.000000 |           0 |      3 |      3 |     99.27 |    100.02
324 |         N/A |   0.000000 |           0 |      4 |      4 |     99.88 |    100.59
330 |         N/A |   0.000000 |           0 |      1 |      1 |     99.83 |    100.28
315 |         N/A |   0.000000 |           0 |      4 |      4 |     98.78 |    100.26
314 |         N/A |   0.000000 |           0 |      2 |      2 |     99.86 |    100.71
310 |         N/A |   0.000000 |           0 |      1 |      1 |     99.78 |    100.53
327 |         N/A |   0.000000 |           0 |      0 |      0 |     99.92 |    100.17
308 |         N/A |   0.000000 |           0 |      4 |      4 |     98.96 |    100.19
328 |         N/A |   0.000000 |           0 |      1 |      1 |     99.87 |    100.29
319 |         N/A |   0.000000 |           0 |     17 |     17 |     99.61 |    100.97
321 |         N/A |   0.000000 |           0 |      4 |      4 |     99.21 |    100.18
325 |         N/A |   0.000000 |           0 |      7 |      7 |     99.57 |    100.66
348 |         N/A |   0.000000 |           0 |      9 |      9 |     99.07 |    100.20
340 |         N/A |   0.000000 |           0 |      2 |      2 |     99.75 |    100.26
333 |         N/A |   0.000000 |           0 |      2 |      2 |     99.95 |    100.30
332 |         N/A |   0.000000 |           0 |      6 |      6 |     98.76 |    100.18
338 |         N/A |   0.000000 |           0 |      6 |      6 |     99.90 |    100.90
354 |         N/A |   0.000000 |           0 |      4 |      4 |     99.39 |    100.12
349 |         N/A |   0.000000 |           0 |     13 |     13 |     99.46 |    100.65
346 |         N/A |   0.000000 |           0 |      2 |      2 |     99.99 |    100.44
347 |         N/A |   0.000000 |           0 |      2 |      2 |     99.49 |    100.01
341 |         N/A |   0.000000 |           0 |      2 |      2 |     99.80 |    100.67
339 |         N/A |   0.000000 |           0 |      6 |      6 |     98.90 |    100.00
345 |         N/A |   0.000000 |           0 |      2 |      2 |     99.51 |    100.16
342 |         N/A |   0.000000 |           0 |      8 |      8 |     99.55 |    101.13
344 |         N/A |   0.000000 |           0 |      3 |      3 |     99.85 |    100.93
334 |         N/A |   0.000000 |           0 |      2 |      2 |     99.89 |    100.26
355 |         N/A |   0.000000 |           0 |      6 |      6 |     99.37 |    100.17
351 |         N/A |   0.000000 |           0 |      7 |      7 |     99.78 |    100.83
352 |         N/A |   0.000000 |           0 |      4 |      4 |    100.02 |    100.86
353 |         N/A |   0.000000 |           0 |      9 |      9 |     99.53 |    100.49
359 |         N/A |   0.000000 |           0 |      4 |      4 |     99.39 |    100.35
357 |         N/A |   0.000000 |           0 |      1 |      1 |     99.75 |    100.28
356 |         N/A |   0.000000 |           0 |      4 |      4 |     99.27 |    100.09
364 |         N/A |   0.000000 |           0 |      2 |      2 |     99.92 |    100.62
361 |         N/A |   0.000000 |           0 |      5 |      5 |     99.89 |    100.72
370 |         N/A |   0.000000 |           0 |      4 |      4 |     99.84 |    100.51
365 |         N/A |   0.000000 |           0 |      4 |      4 |     99.57 |    100.41
363 |         N/A |   0.000000 |           0 |      7 |      7 |     98.08 |    100.09
368 |         N/A |   0.000000 |           0 |      7 |      7 |     99.67 |    100.41
362 |         N/A |   0.000000 |           0 |      2 |      2 |     99.97 |    100.55
360 |         N/A |   0.000000 |           0 |      3 |      3 |     99.34 |    100.08
373 |         N/A |   0.000000 |           0 |      4 |      4 |     99.75 |    100.48
371 |         N/A |   0.000000 |           0 |      2 |      2 |    100.00 |    100.61
378 |         N/A |   0.000000 |           0 |     15 |     15 |     98.73 |    100.37
374 |         N/A |   0.000000 |           0 |      4 |      4 |     99.57 |    100.66
376 |         N/A |   0.000000 |           0 |      5 |      5 |     99.75 |    100.87
375 |         N/A |   0.000000 |           0 |      6 |      6 |     99.37 |    100.20
379 |         N/A |   0.000000 |           0 |      1 |      1 |     99.75 |    100.31
380 |         N/A |   0.000000 |           0 |      3 |      3 |     99.71 |    100.34
377 |         N/A |   0.000000 |           0 |      3 |      3 |     99.33 |    100.04
369 |         N/A |   0.000000 |           0 |      0 |      0 |     99.84 |    100.13
381 |         N/A |   0.000000 |           0 |      1 |      1 |     99.50 |    100.02
382 |         N/A |   0.000000 |           0 |      8 |      8 |     99.31 |    100.36
384 |         N/A |   0.000000 |           0 |      3 |      3 |     98.97 |    100.04
387 |         N/A |   0.000000 |           0 |      5 |      5 |     99.28 |    100.17
386 |         N/A |   0.000000 |           0 |      7 |      7 |     99.90 |    101.28
388 |         N/A |   0.000000 |           0 |      5 |      5 |     99.11 |    100.17
390 |         N/A |   0.000000 |           0 |      3 |      3 |     99.65 |    100.32
392 |         N/A |   0.000000 |           0 |      2 |      2 |    100.00 |    100.65
391 |         N/A |   0.000000 |           0 |      7 |      7 |     99.85 |    100.73
393 |         N/A |   0.000000 |           0 |      7 |      7 |     99.99 |    101.30
401 |         N/A |   0.000000 |           0 |      2 |      2 |     99.46 |    100.15
399 |         N/A |   0.000000 |           0 |      3 |      3 |     99.93 |    100.64
406 |         N/A |   0.000000 |           0 |      3 |      3 |     99.41 |    100.05
403 |         N/A |   0.000000 |           0 |      1 |      1 |     99.97 |    100.39
402 |         N/A |   0.000000 |           0 |      4 |      4 |     99.25 |    100.02
395 |         N/A |   0.000000 |           0 |      5 |      5 |    100.00 |    101.06
398 |         N/A |   0.000000 |           0 |      3 |      3 |     99.31 |    100.04
414 |         N/A |   0.000000 |           0 |      2 |      2 |     99.90 |    100.41
412 |         N/A |   0.000000 |           0 |      3 |      3 |     99.11 |    100.02
411 |         N/A |   0.000000 |           0 |      3 |      3 |     99.24 |    100.18
409 |         N/A |   0.000000 |           0 |      4 |      4 |     98.99 |    100.06
416 |         N/A |   0.000000 |           0 |      3 |      3 |     99.61 |    100.37
394 |         N/A |   0.000000 |           0 |      5 |      5 |     99.42 |    100.15
415 |         N/A |   0.000000 |           0 |      1 |      1 |     99.74 |    100.30
400 |         N/A |   0.000000 |           0 |      2 |      2 |     99.89 |    100.25
396 |         N/A |   0.000000 |           0 |      7 |      7 |     99.28 |    100.09
397 |         N/A |   0.000000 |           0 |      6 |      6 |     99.86 |    100.68
404 |         N/A |   0.000000 |           0 |     11 |     11 |     98.83 |    100.19
405 |         N/A |   0.000000 |           0 |      7 |      7 |     99.80 |    100.49
407 |         N/A |   0.000000 |           0 |      4 |      4 |     99.74 |    101.23
418 |         N/A |   0.000000 |           0 |      8 |      8 |     98.83 |    100.09
417 |         N/A |   0.000000 |           0 |      3 |      3 |     99.20 |    100.07
413 |         N/A |   0.000000 |           0 |      3 |      3 |     99.87 |    100.56
420 |         N/A |   0.000000 |           0 |      2 |      2 |     99.53 |    100.22
435 |         N/A |   0.000000 |           0 |      4 |      4 |     99.65 |    100.07
428 |         N/A |   0.000000 |           0 |      3 |      3 |     99.99 |    100.61
430 |         N/A |   0.000000 |           0 |      8 |      8 |     99.68 |    101.03
443 |         N/A |   0.000000 |           0 |      6 |      6 |     99.26 |    100.09
431 |         N/A |   0.000000 |           0 |      3 |      3 |     99.69 |    100.26
422 |         N/A |   0.000000 |           0 |      1 |      1 |     99.75 |    100.11
423 |         N/A |   0.000000 |           0 |      2 |      2 |     99.78 |    100.59
441 |         N/A |   0.000000 |           0 |      1 |      1 |     99.56 |    100.15
439 |         N/A |   0.000000 |           0 |      5 |      5 |     99.54 |    100.11
427 |         N/A |   0.000000 |           0 |      2 |      2 |     99.98 |    100.73
425 |         N/A |   0.000000 |           0 |      3 |      3 |     99.79 |    100.38
424 |         N/A |   0.000000 |           0 |      9 |      9 |     98.94 |    100.01
432 |         N/A |   0.000000 |           0 |      2 |      2 |     99.85 |    100.49
426 |         N/A |   0.000000 |           0 |      5 |      5 |     99.76 |    100.52
429 |         N/A |   0.000000 |           0 |      7 |      7 |     99.67 |    100.60
434 |         N/A |   0.000000 |           0 |      8 |      8 |     99.60 |    100.31
437 |         N/A |   0.000000 |           0 |      7 |      7 |     99.45 |    100.43
433 |         N/A |   0.000000 |           0 |      7 |      7 |     99.76 |    100.54
436 |         N/A |   0.000000 |           0 |      0 |      0 |     99.88 |    100.17
438 |         N/A |   0.000000 |           0 |      2 |      2 |     99.83 |    100.75
440 |         N/A |   0.000000 |           0 |      8 |      8 |     99.59 |    100.64
445 |         N/A |   0.000000 |           0 |      1 |      1 |     99.63 |    100.07
452 |         N/A |   0.000000 |           0 |      3 |      3 |     98.93 |    100.00
444 |         N/A |   0.000000 |           0 |      2 |      2 |     99.97 |    100.66
458 |         N/A |   0.000000 |           0 |      3 |      3 |     99.54 |    100.20
460 |         N/A |   0.000000 |           0 |      4 |      4 |     99.56 |    100.49
464 |         N/A |   0.000000 |           0 |      5 |      5 |     99.82 |    100.69
466 |         N/A |   0.000000 |           0 |      7 |      7 |     99.90 |    101.00
454 |         N/A |   0.000000 |           0 |      4 |      4 |     99.98 |    100.88
468 |         N/A |   0.000000 |           0 |      4 |      4 |     99.88 |    100.68
453 |         N/A |   0.000000 |           0 |      4 |      4 |     99.85 |    100.61
467 |         N/A |   0.000000 |           0 |      2 |      2 |     99.58 |    100.25
447 |         N/A |   0.000000 |           0 |      4 |      4 |     99.77 |    100.27
469 |         N/A |   0.000000 |           0 |      3 |      3 |     99.41 |    100.16
457 |         N/A |   0.000000 |           0 |      7 |      7 |     99.79 |    100.92
449 |         N/A |   0.000000 |           0 |      2 |      2 |     99.88 |    100.48
450 |         N/A |   0.000000 |           0 |      2 |      2 |     99.41 |    100.10
451 |         N/A |   0.000000 |           0 |      3 |      3 |     99.78 |    100.88
470 |         N/A |   0.000000 |           0 |      3 |      3 |     99.89 |    101.07
465 |         N/A |   0.000000 |           0 |      1 |      1 |     99.64 |    100.11
455 |         N/A |   0.000000 |           0 |     13 |     13 |     99.51 |    100.33
461 |         N/A |   0.000000 |           0 |     12 |     12 |     99.68 |    100.70
463 |         N/A |   0.000000 |           0 |     14 |     14 |     99.30 |    100.54
471 |         N/A |   0.000000 |           0 |      6 |      6 |     99.35 |    100.59
459 |         N/A |   0.000000 |           0 |      2 |      2 |     99.81 |    100.45
475 |         N/A |   0.000000 |           0 |      5 |      5 |     99.44 |    100.33
472 |         N/A |   0.000000 |           0 |      1 |      1 |     99.76 |    100.26
462 |         N/A |   0.000000 |           0 |      6 |      6 |     99.53 |    100.32
474 |         N/A |   0.000000 |           0 |      3 |      3 |     99.75 |    100.16
483 |         N/A |   0.000000 |           0 |      4 |      4 |     99.16 |    100.01
478 |         N/A |   0.000000 |           0 |      2 |      2 |     99.64 |    100.11
476 |         N/A |   0.000000 |           0 |      5 |      5 |     99.51 |    100.46
479 |         N/A |   0.000000 |           0 |      8 |      8 |     99.93 |    101.19
473 |         N/A |   0.000000 |           0 |      2 |      2 |     99.84 |    100.22
481 |         N/A |   0.000000 |           0 |      2 |      2 |     99.89 |    100.53
484 |         N/A |   0.000000 |           0 |      1 |      1 |     99.85 |    100.30
480 |         N/A |   0.000000 |           0 |     20 |     20 |     99.19 |    100.55
485 |         N/A |   0.000000 |           0 |      1 |      1 |     99.87 |    100.41
487 |         N/A |   0.000000 |           0 |      1 |      1 |     99.85 |    100.48
489 |         N/A |   0.000000 |           0 |      2 |      2 |     99.35 |    100.25
482 |         N/A |   0.000000 |           0 |      4 |      4 |     99.99 |    100.70
486 |         N/A |   0.000000 |           0 |      4 |      4 |     99.31 |    100.09
497 |         N/A |   0.000000 |           0 |      3 |      3 |     99.71 |    100.49
491 |         N/A |   0.000000 |           0 |      0 |      0 |     99.87 |    100.16
508 |         N/A |   0.000000 |           0 |      1 |      1 |    100.00 |    100.47
490 |         N/A |   0.000000 |           0 |      1 |      1 |     99.57 |    100.05
499 |         N/A |   0.000000 |           0 |      2 |      2 |     99.99 |    100.63
509 |         N/A |   0.000000 |           0 |      2 |      2 |     99.68 |    100.15
495 |         N/A |   0.000000 |           0 |      3 |      3 |     99.12 |    100.04
493 |         N/A |   0.000000 |           0 |      1 |      1 |     99.80 |    100.41
494 |         N/A |   0.000000 |           0 |      5 |      5 |     99.93 |    100.82
506 |         N/A |   0.000000 |           0 |      1 |      1 |     99.92 |    100.53
501 |         N/A |   0.000000 |           0 |      2 |      2 |     99.79 |    100.57
503 |         N/A |   0.000000 |           0 |      1 |      1 |     99.89 |    100.23
505 |         N/A |   0.000000 |           0 |      3 |      3 |     99.72 |    100.51
500 |         N/A |   0.000000 |           0 |      1 |      1 |     99.89 |    100.53
496 |         N/A |   0.000000 |           0 |      3 |      3 |     99.33 |    100.00

Days without KAMA Cross: 431
Total Missed Pairs: 2118
Average Missed/Day: 4.91

====================================================================================================
OVERALL SUMMARY
====================================================================================================
Total Pairs: 3066
Total Missed: 2118
Total Considered: 948
Average Pairs/Day: 6.01
====================================================================================================
END OF REPORT
