====================================================================================================
PRICE FLUCTUATION (≥ 0.3) — TIME-FILTERED TRADES (≥ 15s duration + 15s cooldown)
====================================================================================================

ATR Window: 600 | ATR Threshold: 0.01
Min Trade Duration: 15s | Cooldown: 15s
Days Processed: 510 / 510

====================================================================================================
SECTION A — Days where ATR ≥ Threshold (Active Regime)
====================================================================================================
Day | ATR @Index | ATR Value | Considered | Missed | Total | Price Min | Price Max
269 |         N/A |    0.00000 |           0 |      1 |      1 |     99.75 |    100.12
257 |         N/A |    0.00000 |           0 |      1 |      1 |     99.51 |    100.07
263 |         N/A |    0.00000 |           0 |      2 |      2 |     99.62 |    100.25
265 |         N/A |    0.00000 |           0 |      8 |      8 |     99.31 |    100.41
276 |         N/A |    0.00000 |           0 |      2 |      2 |     99.95 |    100.55
267 |         N/A |    0.00000 |           0 |     10 |     10 |     98.73 |    100.12
281 |         N/A |    0.00000 |           0 |      4 |      4 |     99.69 |    100.51
286 |         N/A |    0.00000 |           0 |      5 |      5 |     99.32 |    100.65
283 |         N/A |    0.00000 |           0 |      6 |      6 |     99.32 |    100.61
277 |         N/A |    0.00000 |           0 |      3 |      3 |     99.53 |    100.16
278 |         N/A |    0.00000 |           0 |      5 |      5 |     99.63 |    100.66
287 |         N/A |    0.00000 |           0 |      5 |      5 |     99.32 |    100.20
282 |         N/A |    0.00000 |           0 |      4 |      4 |     99.42 |    100.72
280 |         N/A |    0.00000 |           0 |      5 |      5 |     99.98 |    101.05
296 |         N/A |    0.00000 |           0 |      3 |      3 |     99.57 |    100.31
288 |         N/A |    0.00000 |           0 |      2 |      2 |     99.81 |    100.22
292 |         N/A |    0.00000 |           0 |      1 |      1 |     99.84 |    100.14
289 |         N/A |    0.00000 |           0 |      2 |      2 |     99.56 |    100.15
291 |         N/A |    0.00000 |           0 |      0 |      0 |     99.94 |    100.20
293 |         N/A |    0.00000 |           0 |      3 |      3 |     99.88 |    100.82
297 |         N/A |    0.00000 |           0 |      2 |      2 |     99.72 |    100.33
300 |         N/A |    0.00000 |           0 |      4 |      4 |     99.93 |    101.19
301 |         N/A |    0.00000 |           0 |      2 |      2 |     99.82 |    100.52
302 |         N/A |    0.00000 |           0 |      2 |      2 |     99.30 |    100.17
308 |         N/A |    0.00000 |           0 |      4 |      4 |     98.96 |    100.19
313 |         N/A |    0.00000 |           0 |      5 |      5 |     98.98 |    100.14
306 |         N/A |    0.00000 |           0 |      6 |      6 |     98.84 |    100.06
303 |         N/A |    0.00000 |           0 |      4 |      4 |     99.56 |    100.21
310 |         N/A |    0.00000 |           0 |      1 |      1 |     99.78 |    100.53
307 |         N/A |    0.00000 |           0 |      1 |      1 |     99.79 |    100.20
304 |         N/A |    0.00000 |           0 |     16 |     16 |     99.31 |    101.16
322 |         N/A |    0.00000 |           0 |      7 |      7 |     98.77 |    100.11
321 |         N/A |    0.00000 |           0 |      5 |      5 |     99.21 |    100.18
316 |         N/A |    0.00000 |           0 |      4 |      4 |     99.70 |    100.88
314 |         N/A |    0.00000 |           0 |      2 |      2 |     99.86 |    100.71
312 |         N/A |    0.00000 |           0 |      3 |      3 |     99.52 |    100.29
320 |         N/A |    0.00000 |           0 |     10 |     10 |     99.05 |    100.09
318 |         N/A |    0.00000 |           0 |      4 |      4 |     98.83 |    100.18
317 |         N/A |    0.00000 |           0 |      3 |      3 |     99.56 |    100.22
315 |         N/A |    0.00000 |           0 |      4 |      4 |     98.78 |    100.26
326 |         N/A |    0.00000 |           0 |      2 |      2 |     99.65 |    100.23
330 |         N/A |    0.00000 |           0 |      1 |      1 |     99.83 |    100.28
328 |         N/A |    0.00000 |           0 |      1 |      1 |     99.87 |    100.29
335 |         N/A |    0.00000 |           0 |     12 |     12 |     98.74 |    100.13
336 |         N/A |    0.00000 |           0 |      6 |      6 |     99.27 |    100.36
333 |         N/A |    0.00000 |           0 |      2 |      2 |     99.95 |    100.30
332 |         N/A |    0.00000 |           0 |      6 |      6 |     98.76 |    100.18
327 |         N/A |    0.00000 |           0 |      0 |      0 |     99.92 |    100.17
342 |         N/A |    0.00000 |           0 |      8 |      8 |     99.55 |    101.13
348 |         N/A |    0.00000 |           0 |      9 |      9 |     99.07 |    100.20
338 |         N/A |    0.00000 |           0 |      6 |      6 |     99.90 |    100.90
341 |         N/A |    0.00000 |           0 |      2 |      2 |     99.80 |    100.67
339 |         N/A |    0.00000 |           0 |      6 |      6 |     98.90 |    100.00
344 |         N/A |    0.00000 |           0 |      3 |      3 |     99.85 |    100.93
340 |         N/A |    0.00000 |           0 |      2 |      2 |     99.75 |    100.26
359 |         N/A |    0.00000 |           0 |      7 |      7 |     99.39 |    100.35
358 |         N/A |    0.00000 |           0 |     15 |     15 |     97.58 |    100.36
346 |         N/A |    0.00000 |           0 |      2 |      2 |     99.99 |    100.44
347 |         N/A |    0.00000 |           0 |      2 |      2 |     99.49 |    100.01
356 |         N/A |    0.00000 |           0 |      5 |      5 |     99.27 |    100.09
362 |         N/A |    0.00000 |           0 |      2 |      2 |     99.97 |    100.55
351 |         N/A |    0.00000 |           0 |      4 |      4 |     99.78 |    100.83
360 |         N/A |    0.00000 |           0 |      3 |      3 |     99.34 |    100.08
355 |         N/A |    0.00000 |           0 |      6 |      6 |     99.37 |    100.17
368 |         N/A |    0.00000 |           0 |      7 |      7 |     99.67 |    100.41
365 |         N/A |    0.00000 |           0 |      4 |      4 |     99.57 |    100.41
367 |         N/A |    0.00000 |           0 |     17 |     17 |     99.55 |    101.65
375 |         N/A |    0.00000 |           0 |      6 |      6 |     99.37 |    100.20
371 |         N/A |    0.00000 |           0 |      2 |      2 |    100.00 |    100.61
384 |         N/A |    0.00000 |           0 |      3 |      3 |     98.97 |    100.04
380 |         N/A |    0.00000 |           0 |      3 |      3 |     99.71 |    100.34
381 |         N/A |    0.00000 |           0 |      1 |      1 |     99.50 |    100.02
376 |         N/A |    0.00000 |           0 |      5 |      5 |     99.75 |    100.87
379 |         N/A |    0.00000 |           0 |      1 |      1 |     99.75 |    100.31
382 |         N/A |    0.00000 |           0 |      8 |      8 |     99.31 |    100.36
386 |         N/A |    0.00000 |           0 |      7 |      7 |     99.90 |    101.28
392 |         N/A |    0.00000 |           0 |      2 |      2 |    100.00 |    100.65
388 |         N/A |    0.00000 |           0 |      6 |      6 |     99.11 |    100.17
389 |         N/A |    0.00000 |           0 |     15 |     15 |     97.91 |    100.14
398 |         N/A |    0.00000 |           0 |      3 |      3 |     99.31 |    100.04
404 |         N/A |    0.00000 |           0 |      9 |      9 |     98.83 |    100.19
390 |         N/A |    0.00000 |           0 |      2 |      2 |     99.65 |    100.32
402 |         N/A |    0.00000 |           0 |      4 |      4 |     99.25 |    100.02
403 |         N/A |    0.00000 |           0 |      1 |      1 |     99.97 |    100.39
401 |         N/A |    0.00000 |           0 |      2 |      2 |     99.46 |    100.15
406 |         N/A |    0.00000 |           0 |      3 |      3 |     99.41 |    100.05
396 |         N/A |    0.00000 |           0 |      7 |      7 |     99.28 |    100.09
399 |         N/A |    0.00000 |           0 |      3 |      3 |     99.93 |    100.64
407 |         N/A |    0.00000 |           0 |      4 |      4 |     99.74 |    101.23
408 |         N/A |    0.00000 |           0 |      8 |      8 |     98.71 |    100.41
397 |         N/A |    0.00000 |           0 |      6 |      6 |     99.86 |    100.68
411 |         N/A |    0.00000 |           0 |      3 |      3 |     99.24 |    100.18
400 |         N/A |    0.00000 |           0 |      2 |      2 |     99.89 |    100.25
409 |         N/A |    0.00000 |           0 |      4 |      4 |     98.99 |    100.06
412 |         N/A |    0.00000 |           0 |      3 |      3 |     99.11 |    100.02
410 |         N/A |    0.00000 |           0 |      7 |      7 |     99.53 |    100.69
416 |         N/A |    0.00000 |           0 |      3 |      3 |     99.61 |    100.37
425 |         N/A |    0.00000 |           0 |      3 |      3 |     99.79 |    100.38
417 |         N/A |    0.00000 |           0 |      3 |      3 |     99.20 |    100.07
427 |         N/A |    0.00000 |           0 |      2 |      2 |     99.98 |    100.73
414 |         N/A |    0.00000 |           0 |      2 |      2 |     99.90 |    100.41
419 |         N/A |    0.00000 |           0 |     14 |     14 |     99.41 |    101.91
426 |         N/A |    0.00000 |           0 |      6 |      6 |     99.76 |    100.52
420 |         N/A |    0.00000 |           0 |      2 |      2 |     99.53 |    100.22
428 |         N/A |    0.00000 |           0 |      5 |      5 |     99.99 |    100.61
430 |         N/A |    0.00000 |           0 |      6 |      6 |     99.68 |    101.03
422 |         N/A |    0.00000 |           0 |      1 |      1 |     99.75 |    100.11
432 |         N/A |    0.00000 |           0 |      2 |      2 |     99.85 |    100.49
431 |         N/A |    0.00000 |           0 |      3 |      3 |     99.69 |    100.26
435 |         N/A |    0.00000 |           0 |      3 |      3 |     99.65 |    100.07
436 |         N/A |    0.00000 |           0 |      0 |      0 |     99.88 |    100.17
437 |         N/A |    0.00000 |           0 |     11 |     11 |     99.45 |    100.43
438 |         N/A |    0.00000 |           0 |      2 |      2 |     99.83 |    100.75
443 |         N/A |    0.00000 |           0 |      6 |      6 |     99.26 |    100.09
450 |         N/A |    0.00000 |           0 |      2 |      2 |     99.41 |    100.10
441 |         N/A |    0.00000 |           0 |      1 |      1 |     99.56 |    100.15
445 |         N/A |    0.00000 |           0 |      1 |      1 |     99.63 |    100.07
451 |         N/A |    0.00000 |           0 |      3 |      3 |     99.78 |    100.88
453 |         N/A |    0.00000 |           0 |      4 |      4 |     99.85 |    100.61
452 |         N/A |    0.00000 |           0 |      3 |      3 |     98.93 |    100.00
459 |         N/A |    0.00000 |           0 |      2 |      2 |     99.81 |    100.45
454 |         N/A |    0.00000 |           0 |      3 |      3 |     99.98 |    100.88
461 |         N/A |    0.00000 |           0 |     13 |     13 |     99.68 |    100.70
458 |         N/A |    0.00000 |           0 |      3 |      3 |     99.54 |    100.20
460 |         N/A |    0.00000 |           0 |      4 |      4 |     99.56 |    100.49
465 |         N/A |    0.00000 |           0 |      1 |      1 |     99.64 |    100.11
468 |         N/A |    0.00000 |           0 |      4 |      4 |     99.88 |    100.68
473 |         N/A |    0.00000 |           0 |      2 |      2 |     99.84 |    100.22
467 |         N/A |    0.00000 |           0 |      2 |      2 |     99.58 |    100.25
470 |         N/A |    0.00000 |           0 |      3 |      3 |     99.89 |    101.07
472 |         N/A |    0.00000 |           0 |      1 |      1 |     99.76 |    100.26
482 |         N/A |    0.00000 |           0 |      4 |      4 |     99.99 |    100.70
481 |         N/A |    0.00000 |           0 |      2 |      2 |     99.89 |    100.53
484 |         N/A |    0.00000 |           0 |      1 |      1 |     99.85 |    100.30
475 |         N/A |    0.00000 |           0 |      5 |      5 |     99.44 |    100.33
476 |         N/A |    0.00000 |           0 |      5 |      5 |     99.51 |    100.46
478 |         N/A |    0.00000 |           0 |      2 |      2 |     99.64 |    100.11
474 |         N/A |    0.00000 |           0 |      3 |      3 |     99.75 |    100.16
479 |         N/A |    0.00000 |           0 |      8 |      8 |     99.93 |    101.19
485 |         N/A |    0.00000 |           0 |      1 |      1 |     99.87 |    100.41
487 |         N/A |    0.00000 |           0 |      1 |      1 |     99.85 |    100.48
497 |         N/A |    0.00000 |           0 |      3 |      3 |     99.71 |    100.49
490 |         N/A |    0.00000 |           0 |      1 |      1 |     99.57 |    100.05
496 |         N/A |    0.00000 |           0 |      3 |      3 |     99.33 |    100.00
500 |         N/A |    0.00000 |           0 |      1 |      1 |     99.89 |    100.53
489 |         N/A |    0.00000 |           0 |      2 |      2 |     99.35 |    100.25
495 |         N/A |    0.00000 |           0 |      3 |      3 |     99.12 |    100.04
491 |         N/A |    0.00000 |           0 |      0 |      0 |     99.87 |    100.16
493 |         N/A |    0.00000 |           0 |      1 |      1 |     99.80 |    100.41
498 |         N/A |    0.00000 |           0 |      8 |      8 |     99.11 |    100.36
502 |         N/A |    0.00000 |           0 |      6 |      6 |     99.96 |    100.96
501 |         N/A |    0.00000 |           0 |      2 |      2 |     99.79 |    100.57
507 |         N/A |    0.00000 |           0 |      8 |      8 |     99.01 |    100.73
503 |         N/A |    0.00000 |           0 |      1 |      1 |     99.89 |    100.23
509 |         N/A |    0.00000 |           0 |      2 |      2 |     99.68 |    100.15
508 |         N/A |    0.00000 |           0 |      1 |      1 |    100.00 |    100.47

Days without ATR Cross: 335
Total Missed Pairs: 1370
Average Missed/Day: 4.09

====================================================================================================
OVERALL SUMMARY
====================================================================================================
Total Pairs: 3001
Total Missed: 1370
Total Considered: 1631
Average Pairs/Day: 5.88
====================================================================================================
END OF REPORT
